Name,BSE Code,NSE Code,Industry,Current Price,Filter,Filter52wLow,Up from 52w low,Low price,High price,Sales,Net profit,Market Capitalization,Debt to equity,Average return on equity 3Years,ROCE3yr avg,Average dividend payout 3years,Price to Earning,Historical PE 5Years,PEG Ratio,OPM,Interest Coverage Ratio,Enterprise Value,Net worth,Reserves,Return on assets 3years,Price to book value,Price to Cash Flow,Price to Sales,EVEBITDA,Dividend Payout Ratio,Dividend yield,Current ratio,Sales growth 5Years,Profit growth 5Years,Pledged percentage,Promoter holding,Piotroski score
3M India,523395,3MINDIA,Trading,20008.20,0,0,19.45,16749.95,25439.95,2850.09,308.28,22549.24,0.01,20.88,32.05,0.00,73.15,74.36,1.48,17.22,274.21,22092.35,1859.54,1848.27,20.60,12.13,84.58,7.91,42.24,0.00,0.00,2.50,10.02,49.41,0.00,75.00,5.00
A B B,500002,ABB,Electric Equipment,1485.50,,0,24.83,1190.00,1670.00,7607.95,140.94,31478.99,0.00,,,,225.01,92.32,,4.67,4.68,31394.18,4145.89,4103.51,,12.10,-712.17,4.14,86.95,45.10,0.32,1.57,,,0.00,75.00,4.00
AAVAS Financiers,541988,AAVAS,Finance - Housing,1580.20,0,0,158.41,611.50,1670.00,760.01,191.15,12352.16,1.99,11.75,10.84,0.00,64.62,51.32,,74.58,2.00,15337.07,1836.96,1758.85,3.16,6.72,-9.68,16.25,26.99,0.00,0.00,6.80,,,0.00,58.29,6.00
Abbott India,500488,ABBOTINDIA,Pharmaceuticals - Multinational,10861.00,1,0,57.41,6900.00,11070.00,3832.57,484.86,23079.63,0.00,23.97,37.50,30.18,47.60,33.61,2.58,17.42,204.01,21395.35,2008.59,1987.34,23.05,11.49,46.35,6.02,27.13,30.67,0.60,3.20,10.08,18.43,0.00,74.99,6.00
ACC,500410,ACC,Cement - North India,1575.70,0,0,19.17,1322.20,1769.05,15397.71,1743.05,29589.64,0.00,11.28,14.43,39.58,16.98,31.24,2.29,14.59,23.24,26492.66,10991.68,10803.69,10.93,2.69,26.48,1.92,10.47,17.31,0.89,1.53,6.00,7.41,0.00,54.53,7.00
Adani Enterp.,512599,ADANIENT,Trading,143.65,0,0,27.12,113.00,180.80,43382.25,1056.47,15798.63,0.76,6.32,6.73,5.47,16.59,19.89,-0.93,4.21,1.68,25332.55,14755.94,14645.96,2.64,1.07,4.88,0.36,8.47,6.13,0.28,1.60,-5.98,-17.78,25.93,74.92,6.00
Adani Gas,542066,ADANIGAS,Miscellaneous,130.40,,0,85.75,70.20,184.25,1796.93,252.93,14341.52,0.36,,,,53.06,61.88,,27.10,7.74,14575.68,1101.95,991.97,,13.01,40.27,7.98,26.57,12.02,0.19,2.39,,,0.00,74.80,6.00
Adani Green,541450,ADANIGREEN,Power Generation And Supply,56.50,0,0,94.16,29.10,61.45,2246.59,-494.58,8836.68,13.26,,,0.00,,0.00,,77.05,0.59,19617.70,840.00,-724.01,331.20,4.57,5.30,3.93,10.83,0.00,0.00,1.60,,,37.23,74.92,5.00
Adani Ports,532921,ADANIPORTS,Miscellaneous,404.05,0,0,38.33,292.10,430.60,11308.88,4321.90,83676.81,1.11,20.28,15.17,6.40,18.86,21.03,0.98,63.95,4.58,105155.23,24372.32,23958.13,8.96,3.41,13.88,7.40,12.05,1.04,0.05,5.21,17.73,19.25,32.10,62.30,5.00
Adani Power,533096,ADANIPOWER,Power Generation And Supply,61.75,0,0,194.05,21.00,69.90,28013.08,-422.64,23816.60,,-68.87,7.34,0.00,54.14,20.88,,23.68,1.12,69880.42,-287.71,-4144.65,-2.78,3.09,4.25,0.85,7.73,0.00,0.00,1.38,9.28,,29.32,74.97,7.00
