comp_name, ticker, isin, plan_units_1k, rank, captype, mcap
Reliance industries, RELIANCE, INE002A01018, 1, 1, Large Cap, 812261
Tata consultancy services, TCS, INE467B01029, 1, 2, Large Cap, 773446
Hdfc bank, HDFCBANK, INE040A01026, 1, 3, Large Cap, 612337
Hindustan unilever, HINDUNILVR, INE030A01027, 1, 4, Large Cap, 379019
Itc, ITC, INE154A01025, 1, 5, Large Cap, 352908
Housing development finance co, HDFC, INE001A01036, 1, 6, Large Cap, 344992
Infosys, INFY, INE009A01021, 1, 7, Large Cap, 319125
State bank, SBIN, INE062A01020, 1, 8, Large Cap, 275319
Kotak mahindra bank, KOTAKBANK, INE237A01028, 1, 9, Large Cap, 257588
Icici bank, ICICIBANK, INE090A01021, 1, 10, Large Cap, 249330
Maruti suzuki, MARUTI, INE585B01010, 1, 11, Large Cap, 209413
Oil natural gas corporatio, ONGC, INE213A01029, 1, 12, Large Cap, 199871
Larsen toubro, LT, INE018A01030, 1, 13, Large Cap, 194088
Axis bank, AXISBANK, INE238A01034, 1, 14, Large Cap, 189552
Bajaj finance, BAJFINANCE, INE296A01024, 1, 15, Large Cap, 171306
Wipro, WIPRO, INE075A01022, 1, 16, Large Cap, 166132
Coal, COALINDIA, INE522F01014, 1, 17, Large Cap, 148333
Bharti airtel, BHARTIARTL, INE397D01024, 1, 18, Large Cap, 146497
Hcl technologies, HCLTECH, INE860A01027, 1, 19, Large Cap, 143798
Indian oil corporation, IOC, INE242A01010, 1, 20, Large Cap, 143112
Asian paints, ASIANPAINT, INE021A01026, 1, 21, Large Cap, 135448
Ntpc, NTPC, INE733E01010, 1, 22, Large Cap, 125696
Bajaj finserv, BAJAJFINSV, INE918I01018, 1, 23, Large Cap, 113633
Ultratech cement, ULTRACEMCO, INE481G01011, 1, 24, Large Cap, 112987
Hindustan zinc, HINDZINC, INE267A01025, 1, 25, Large Cap, 110726
Nestle, NESTLEIND, INE239A01016, 1, 26, Large Cap, 105857
Sun pharmaceutical industries, SUNPHARMA, INE044A01036, 1, 27, Large Cap, 104050
Power grid corporationindi, POWERGRID, INE752E01010, 1, 28, Large Cap, 100027
Titan company, TITAN, INE280A01028, 1, 29, Large Cap, 98321
Indusind bank, INDUSINDBK, INE095A01012, 1, 30, Large Cap, 94237
